Start simulation with dt: 1.000000000
Start energy: 3723848129.450342655

1000: energy: 464767036443655701937520640.000000000; delta (%): 12480826829859397632.000000000
2000: energy: 464767036443655701937520640.000000000; delta (%): 12480826829859397632.000000000
3000: energy: 464767036443655701937520640.000000000; delta (%): 12480826829859397632.000000000
4000: energy: 464767036443655701937520640.000000000; delta (%): 12480826829859397632.000000000
5000: energy: 464767036443655701937520640.000000000; delta (%): 12480826829859397632.000000000
6000: energy: 464767036443655701937520640.000000000; delta (%): 12480826829859397632.000000000
7000: energy: 464767036443655701937520640.000000000; delta (%): 12480826829859397632.000000000
8000: energy: 464767036443655701937520640.000000000; delta (%): 12480826829859397632.000000000
9000: energy: 464767036443655701937520640.000000000; delta (%): 12480826829859397632.000000000
10000: energy: 464767036443655701937520640.000000000; delta (%): 12480826829859397632.000000000
11000: energy: 464767036443655701937520640.000000000; delta (%): 12480826829859397632.000000000
12000: energy: 464767036443655701937520640.000000000; delta (%): 12480826829859397632.000000000
13000: energy: 464767036443655701937520640.000000000; delta (%): 12480826829859397632.000000000
14000: energy: 464767036443655701937520640.000000000; delta (%): 12480826829859397632.000000000
15000: energy: 464767036443655701937520640.000000000; delta (%): 12480826829859397632.000000000
16000: energy: 464767036443655701937520640.000000000; delta (%): 12480826829859397632.000000000
17000: energy: 464767036443655701937520640.000000000; delta (%): 12480826829859397632.000000000
18000: energy: 464767036443655701937520640.000000000; delta (%): 12480826829859397632.000000000
19000: energy: 464767036443655701937520640.000000000; delta (%): 12480826829859397632.000000000
20000: energy: 464767036443655701937520640.000000000; delta (%): 12480826829859397632.000000000
21000: energy: 464767036443655701937520640.000000000; delta (%): 12480826829859397632.000000000
22000: energy: 464767036443655701937520640.000000000; delta (%): 12480826829859397632.000000000
23000: energy: 464767036443655701937520640.000000000; delta (%): 12480826829859397632.000000000
24000: energy: 464767036443655701937520640.000000000; delta (%): 12480826829859397632.000000000
25000: energy: 464767036443655701937520640.000000000; delta (%): 12480826829859397632.000000000
26000: energy: 464767036443655701937520640.000000000; delta (%): 12480826829859397632.000000000
27000: energy: 464767036443655701937520640.000000000; delta (%): 12480826829859397632.000000000
28000: energy: 464767036443655701937520640.000000000; delta (%): 12480826829859397632.000000000
29000: energy: 464767036443655701937520640.000000000; delta (%): 12480826829859397632.000000000
30000: energy: 464767036443655701937520640.000000000; delta (%): 12480826829859397632.000000000
31000: energy: 464767036443655701937520640.000000000; delta (%): 12480826829859397632.000000000
32000: energy: 464767036443655701937520640.000000000; delta (%): 12480826829859397632.000000000
33000: energy: 464767036443655701937520640.000000000; delta (%): 12480826829859397632.000000000
34000: energy: 464767036443655701937520640.000000000; delta (%): 12480826829859397632.000000000
35000: energy: 464767036443655701937520640.000000000; delta (%): 12480826829859397632.000000000
36000: energy: 464767036443655701937520640.000000000; delta (%): 12480826829859397632.000000000
37000: energy: 464767036443655701937520640.000000000; delta (%): 12480826829859397632.000000000
38000: energy: 464767036443655701937520640.000000000; delta (%): 12480826829859397632.000000000
39000: energy: 464767036443655701937520640.000000000; delta (%): 12480826829859397632.000000000
40000: energy: 464767036443655701937520640.000000000; delta (%): 12480826829859397632.000000000
41000: energy: 464767036443655701937520640.000000000; delta (%): 12480826829859397632.000000000
42000: energy: 464767036443655701937520640.000000000; delta (%): 12480826829859397632.000000000
43000: energy: 464767036443655701937520640.000000000; delta (%): 12480826829859397632.000000000
44000: energy: 464767036443655701937520640.000000000; delta (%): 12480826829859397632.000000000
45000: energy: 464767036443655701937520640.000000000; delta (%): 12480826829859397632.000000000
46000: energy: 464767036443655701937520640.000000000; delta (%): 12480826829859397632.000000000
47000: energy: 464767036443655701937520640.000000000; delta (%): 12480826829859397632.000000000
48000: energy: 464767036443655701937520640.000000000; delta (%): 12480826829859397632.000000000
49000: energy: 464767036443655701937520640.000000000; delta (%): 12480826829859397632.000000000
50000: energy: 464767036443655701937520640.000000000; delta (%): 12480826829859397632.000000000
51000: energy: 464767036443655701937520640.000000000; delta (%): 12480826829859397632.000000000
52000: energy: 464767036443655701937520640.000000000; delta (%): 12480826829859397632.000000000
53000: energy: 464767036443655701937520640.000000000; delta (%): 12480826829859397632.000000000
54000: energy: 464767036443655701937520640.000000000; delta (%): 12480826829859397632.000000000
55000: energy: 464767036443655701937520640.000000000; delta (%): 12480826829859397632.000000000
56000: energy: 464767036443655701937520640.000000000; delta (%): 12480826829859397632.000000000
57000: energy: 464767036443655701937520640.000000000; delta (%): 12480826829859397632.000000000
58000: energy: 464767036443655701937520640.000000000; delta (%): 12480826829859397632.000000000
59000: energy: 464767036443655701937520640.000000000; delta (%): 12480826829859397632.000000000
60000: energy: 464767036443655701937520640.000000000; delta (%): 12480826829859397632.000000000
61000: energy: 464767036443655701937520640.000000000; delta (%): 12480826829859397632.000000000
62000: energy: 464767036443655701937520640.000000000; delta (%): 12480826829859397632.000000000
63000: energy: 464767036443655701937520640.000000000; delta (%): 12480826829859397632.000000000
64000: energy: 464767036443655701937520640.000000000; delta (%): 12480826829859397632.000000000
65000: energy: 464767036443655701937520640.000000000; delta (%): 12480826829859397632.000000000
66000: energy: 464767036443655701937520640.000000000; delta (%): 12480826829859397632.000000000
67000: energy: 464767036443655701937520640.000000000; delta (%): 12480826829859397632.000000000
68000: energy: 464767036443655701937520640.000000000; delta (%): 12480826829859397632.000000000
69000: energy: 464767036443655701937520640.000000000; delta (%): 12480826829859397632.000000000
70000: energy: 464767036443655701937520640.000000000; delta (%): 12480826829859397632.000000000
71000: energy: 464767036443655701937520640.000000000; delta (%): 12480826829859397632.000000000
72000: energy: 464767036443655701937520640.000000000; delta (%): 12480826829859397632.000000000
73000: energy: 464767036443655701937520640.000000000; delta (%): 12480826829859397632.000000000
74000: energy: 464767036443655701937520640.000000000; delta (%): 12480826829859397632.000000000
75000: energy: 464767036443655701937520640.000000000; delta (%): 12480826829859397632.000000000
76000: energy: 464767036443655701937520640.000000000; delta (%): 12480826829859397632.000000000
77000: energy: 464767036443655701937520640.000000000; delta (%): 12480826829859397632.000000000
78000: energy: 464767036443655701937520640.000000000; delta (%): 12480826829859397632.000000000
79000: energy: 464767036443655701937520640.000000000; delta (%): 12480826829859397632.000000000
80000: energy: 464767036443655701937520640.000000000; delta (%): 12480826829859397632.000000000
81000: energy: 464767036443655701937520640.000000000; delta (%): 12480826829859397632.000000000
82000: energy: 464767036443655701937520640.000000000; delta (%): 12480826829859397632.000000000
83000: energy: 464767036443655701937520640.000000000; delta (%): 12480826829859397632.000000000
84000: energy: 464767036443655701937520640.000000000; delta (%): 12480826829859397632.000000000
85000: energy: 464767036443655701937520640.000000000; delta (%): 12480826829859397632.000000000
86000: energy: 464767036443655701937520640.000000000; delta (%): 12480826829859397632.000000000
87000: energy: 464767036443655701937520640.000000000; delta (%): 12480826829859397632.000000000
88000: energy: 464767036443655701937520640.000000000; delta (%): 12480826829859397632.000000000
89000: energy: 464767036443655701937520640.000000000; delta (%): 12480826829859397632.000000000
90000: energy: 464767036443655701937520640.000000000; delta (%): 12480826829859397632.000000000
91000: energy: 464767036443655701937520640.000000000; delta (%): 12480826829859397632.000000000
92000: energy: 464767036443655701937520640.000000000; delta (%): 12480826829859397632.000000000
93000: energy: 464767036443655701937520640.000000000; delta (%): 12480826829859397632.000000000
94000: energy: 464767036443655701937520640.000000000; delta (%): 12480826829859397632.000000000
95000: energy: 464767036443655701937520640.000000000; delta (%): 12480826829859397632.000000000
96000: energy: 464767036443655701937520640.000000000; delta (%): 12480826829859397632.000000000
97000: energy: 464767036443655701937520640.000000000; delta (%): 12480826829859397632.000000000
98000: energy: 464767036443655701937520640.000000000; delta (%): 12480826829859397632.000000000
99000: energy: 464767036443655701937520640.000000000; delta (%): 12480826829859397632.000000000
100000: energy: 464767036443655701937520640.000000000; delta (%): 12480826829859397632.000000000

Start simulation with dt: 0.100000000
Start energy: 3723848129.450342655

1000: energy: 17546512712408670.000000000; delta (%): 471192926.741362154
2000: energy: 17546512712408492.000000000; delta (%): 471192926.741357446
3000: energy: 17546512712408454.000000000; delta (%): 471192926.741356373
4000: energy: 17546512712408438.000000000; delta (%): 471192926.741355956
5000: energy: 17546512712408430.000000000; delta (%): 471192926.741355777
6000: energy: 17546512712408426.000000000; delta (%): 471192926.741355658
7000: energy: 17546512712408424.000000000; delta (%): 471192926.741355538
8000: energy: 17546512712408422.000000000; delta (%): 471192926.741355538
9000: energy: 17546512712408416.000000000; delta (%): 471192926.741355360
10000: energy: 17546512712408416.000000000; delta (%): 471192926.741355360
11000: energy: 17546512712408416.000000000; delta (%): 471192926.741355360
12000: energy: 17546512712408412.000000000; delta (%): 471192926.741355300
13000: energy: 17546512712408414.000000000; delta (%): 471192926.741355360
14000: energy: 17546512712408410.000000000; delta (%): 471192926.741355181
15000: energy: 17546512712408412.000000000; delta (%): 471192926.741355300
16000: energy: 17546512712408412.000000000; delta (%): 471192926.741355300
17000: energy: 17546512712408412.000000000; delta (%): 471192926.741355300
18000: energy: 17546512712408410.000000000; delta (%): 471192926.741355181
19000: energy: 17546512712408408.000000000; delta (%): 471192926.741355181
20000: energy: 17546512712408408.000000000; delta (%): 471192926.741355181
21000: energy: 17546512712408408.000000000; delta (%): 471192926.741355181
22000: energy: 17546512712408408.000000000; delta (%): 471192926.741355181
23000: energy: 17546512712408406.000000000; delta (%): 471192926.741355121
24000: energy: 17546512712408408.000000000; delta (%): 471192926.741355181
25000: energy: 17546512712408406.000000000; delta (%): 471192926.741355121
26000: energy: 17546512712408404.000000000; delta (%): 471192926.741355121
27000: energy: 17546512712408406.000000000; delta (%): 471192926.741355121
28000: energy: 17546512712408402.000000000; delta (%): 471192926.741355002
29000: energy: 17546512712408404.000000000; delta (%): 471192926.741355121
30000: energy: 17546512712408404.000000000; delta (%): 471192926.741355121
31000: energy: 17546512712408406.000000000; delta (%): 471192926.741355121
32000: energy: 17546512712408402.000000000; delta (%): 471192926.741355002
33000: energy: 17546512712408404.000000000; delta (%): 471192926.741355121
34000: energy: 17546512712408402.000000000; delta (%): 471192926.741355002
35000: energy: 17546512712408402.000000000; delta (%): 471192926.741355002
36000: energy: 17546512712408404.000000000; delta (%): 471192926.741355121
37000: energy: 17546512712408402.000000000; delta (%): 471192926.741355002
38000: energy: 17546512712408404.000000000; delta (%): 471192926.741355121
39000: energy: 17546512712408402.000000000; delta (%): 471192926.741355002
40000: energy: 17546512712408402.000000000; delta (%): 471192926.741355002
41000: energy: 17546512712408404.000000000; delta (%): 471192926.741355121
42000: energy: 17546512712408402.000000000; delta (%): 471192926.741355002
43000: energy: 17546512712408402.000000000; delta (%): 471192926.741355002
44000: energy: 17546512712408402.000000000; delta (%): 471192926.741355002
45000: energy: 17546512712408404.000000000; delta (%): 471192926.741355121
46000: energy: 17546512712408402.000000000; delta (%): 471192926.741355002
47000: energy: 17546512712408402.000000000; delta (%): 471192926.741355002
48000: energy: 17546512712408400.000000000; delta (%): 471192926.741354942
49000: energy: 17546512712408402.000000000; delta (%): 471192926.741355002
50000: energy: 17546512712408402.000000000; delta (%): 471192926.741355002
51000: energy: 17546512712408402.000000000; delta (%): 471192926.741355002
52000: energy: 17546512712408402.000000000; delta (%): 471192926.741355002
53000: energy: 17546512712408402.000000000; delta (%): 471192926.741355002
54000: energy: 17546512712408404.000000000; delta (%): 471192926.741355121
55000: energy: 17546512712408402.000000000; delta (%): 471192926.741355002
56000: energy: 17546512712408402.000000000; delta (%): 471192926.741355002
57000: energy: 17546512712408402.000000000; delta (%): 471192926.741355002
58000: energy: 17546512712408402.000000000; delta (%): 471192926.741355002
59000: energy: 17546512712408404.000000000; delta (%): 471192926.741355121
60000: energy: 17546512712408402.000000000; delta (%): 471192926.741355002
61000: energy: 17546512712408402.000000000; delta (%): 471192926.741355002
62000: energy: 17546512712408404.000000000; delta (%): 471192926.741355121
63000: energy: 17546512712408400.000000000; delta (%): 471192926.741354942
64000: energy: 17546512712408402.000000000; delta (%): 471192926.741355002
65000: energy: 17546512712408402.000000000; delta (%): 471192926.741355002
66000: energy: 17546512712408404.000000000; delta (%): 471192926.741355121
67000: energy: 17546512712408402.000000000; delta (%): 471192926.741355002
68000: energy: 17546512712408400.000000000; delta (%): 471192926.741354942
69000: energy: 17546512712408400.000000000; delta (%): 471192926.741354942
70000: energy: 17546512712408400.000000000; delta (%): 471192926.741354942
71000: energy: 17546512712408400.000000000; delta (%): 471192926.741354942
72000: energy: 17546512712408400.000000000; delta (%): 471192926.741354942
73000: energy: 17546512712408400.000000000; delta (%): 471192926.741354942
74000: energy: 17546512712408400.000000000; delta (%): 471192926.741354942
75000: energy: 17546512712408400.000000000; delta (%): 471192926.741354942
76000: energy: 17546512712408402.000000000; delta (%): 471192926.741355002
77000: energy: 17546512712408402.000000000; delta (%): 471192926.741355002
78000: energy: 17546512712408400.000000000; delta (%): 471192926.741354942
79000: energy: 17546512712408400.000000000; delta (%): 471192926.741354942
80000: energy: 17546512712408400.000000000; delta (%): 471192926.741354942
81000: energy: 17546512712408402.000000000; delta (%): 471192926.741355002
82000: energy: 17546512712408402.000000000; delta (%): 471192926.741355002
83000: energy: 17546512712408402.000000000; delta (%): 471192926.741355002
84000: energy: 17546512712408402.000000000; delta (%): 471192926.741355002
85000: energy: 17546512712408398.000000000; delta (%): 471192926.741354942
86000: energy: 17546512712408402.000000000; delta (%): 471192926.741355002
87000: energy: 17546512712408400.000000000; delta (%): 471192926.741354942
88000: energy: 17546512712408400.000000000; delta (%): 471192926.741354942
89000: energy: 17546512712408400.000000000; delta (%): 471192926.741354942
90000: energy: 17546512712408400.000000000; delta (%): 471192926.741354942
91000: energy: 17546512712408400.000000000; delta (%): 471192926.741354942
92000: energy: 17546512712408400.000000000; delta (%): 471192926.741354942
93000: energy: 17546512712408402.000000000; delta (%): 471192926.741355002
94000: energy: 17546512712408400.000000000; delta (%): 471192926.741354942
95000: energy: 17546512712408398.000000000; delta (%): 471192926.741354942
96000: energy: 17546512712408402.000000000; delta (%): 471192926.741355002
97000: energy: 17546512712408400.000000000; delta (%): 471192926.741354942
98000: energy: 17546512712408400.000000000; delta (%): 471192926.741354942
99000: energy: 17546512712408400.000000000; delta (%): 471192926.741354942
100000: energy: 17546512712408400.000000000; delta (%): 471192926.741354942

Start simulation with dt: 0.010000000
Start energy: 3723848129.450342655

1000: energy: 686065334290119524352.000000000; delta (%): 18423558384687.996093750
2000: energy: 686065334290119524352.000000000; delta (%): 18423558384687.996093750
3000: energy: 686065334290119524352.000000000; delta (%): 18423558384687.996093750
4000: energy: 686065334290119524352.000000000; delta (%): 18423558384687.996093750
5000: energy: 686065334290119524352.000000000; delta (%): 18423558384687.996093750
6000: energy: 686065334290119524352.000000000; delta (%): 18423558384687.996093750
7000: energy: 686065334290119524352.000000000; delta (%): 18423558384687.996093750
8000: energy: 686065334290119524352.000000000; delta (%): 18423558384687.996093750
9000: energy: 686065334290119524352.000000000; delta (%): 18423558384687.996093750
10000: energy: 686065334290119524352.000000000; delta (%): 18423558384687.996093750
11000: energy: 686065334290119524352.000000000; delta (%): 18423558384687.996093750
12000: energy: 686065334290119524352.000000000; delta (%): 18423558384687.996093750
13000: energy: 686065334290119524352.000000000; delta (%): 18423558384687.996093750
14000: energy: 686065334290119524352.000000000; delta (%): 18423558384687.996093750
15000: energy: 686065334290119524352.000000000; delta (%): 18423558384687.996093750
16000: energy: 686065334290119524352.000000000; delta (%): 18423558384687.996093750
17000: energy: 686065334290119524352.000000000; delta (%): 18423558384687.996093750
18000: energy: 686065334290119524352.000000000; delta (%): 18423558384687.996093750
19000: energy: 686065334290119524352.000000000; delta (%): 18423558384687.996093750
20000: energy: 686065334290119524352.000000000; delta (%): 18423558384687.996093750
21000: energy: 686065334290119524352.000000000; delta (%): 18423558384687.996093750
22000: energy: 686065334290119524352.000000000; delta (%): 18423558384687.996093750
23000: energy: 686065334290119524352.000000000; delta (%): 18423558384687.996093750
24000: energy: 686065334290119524352.000000000; delta (%): 18423558384687.996093750
25000: energy: 686065334290119524352.000000000; delta (%): 18423558384687.996093750
26000: energy: 686065334290119524352.000000000; delta (%): 18423558384687.996093750
27000: energy: 686065334290119524352.000000000; delta (%): 18423558384687.996093750
28000: energy: 686065334290119524352.000000000; delta (%): 18423558384687.996093750
29000: energy: 686065334290119524352.000000000; delta (%): 18423558384687.996093750
30000: energy: 686065334290119524352.000000000; delta (%): 18423558384687.996093750
31000: energy: 686065334290119524352.000000000; delta (%): 18423558384687.996093750
32000: energy: 686065334290119524352.000000000; delta (%): 18423558384687.996093750
33000: energy: 686065334290119524352.000000000; delta (%): 18423558384687.996093750
34000: energy: 686065334290119524352.000000000; delta (%): 18423558384687.996093750
35000: energy: 686065334290119524352.000000000; delta (%): 18423558384687.996093750
36000: energy: 686065334290119524352.000000000; delta (%): 18423558384687.996093750
37000: energy: 686065334290119524352.000000000; delta (%): 18423558384687.996093750
38000: energy: 686065334290119524352.000000000; delta (%): 18423558384687.996093750
39000: energy: 686065334290119524352.000000000; delta (%): 18423558384687.996093750
40000: energy: 686065334290119524352.000000000; delta (%): 18423558384687.996093750
41000: energy: 686065334290119524352.000000000; delta (%): 18423558384687.996093750
42000: energy: 686065334290119524352.000000000; delta (%): 18423558384687.996093750
43000: energy: 686065334290119524352.000000000; delta (%): 18423558384687.996093750
44000: energy: 686065334290119524352.000000000; delta (%): 18423558384687.996093750
45000: energy: 686065334290119524352.000000000; delta (%): 18423558384687.996093750
46000: energy: 686065334290119524352.000000000; delta (%): 18423558384687.996093750
47000: energy: 686065334290119524352.000000000; delta (%): 18423558384687.996093750
48000: energy: 686065334290119524352.000000000; delta (%): 18423558384687.996093750
49000: energy: 686065334290119524352.000000000; delta (%): 18423558384687.996093750
50000: energy: 686065334290119524352.000000000; delta (%): 18423558384687.996093750
51000: energy: 686065334290119524352.000000000; delta (%): 18423558384687.996093750
52000: energy: 686065334290119524352.000000000; delta (%): 18423558384687.996093750
53000: energy: 686065334290119524352.000000000; delta (%): 18423558384687.996093750
54000: energy: 686065334290119524352.000000000; delta (%): 18423558384687.996093750
55000: energy: 686065334290119524352.000000000; delta (%): 18423558384687.996093750
56000: energy: 686065334290119524352.000000000; delta (%): 18423558384687.996093750
57000: energy: 686065334290119524352.000000000; delta (%): 18423558384687.996093750
58000: energy: 686065334290119524352.000000000; delta (%): 18423558384687.996093750
59000: energy: 686065334290119524352.000000000; delta (%): 18423558384687.996093750
60000: energy: 686065334290119524352.000000000; delta (%): 18423558384687.996093750
61000: energy: 686065334290119524352.000000000; delta (%): 18423558384687.996093750
62000: energy: 686065334290119524352.000000000; delta (%): 18423558384687.996093750
63000: energy: 686065334290119524352.000000000; delta (%): 18423558384687.996093750
64000: energy: 686065334290119524352.000000000; delta (%): 18423558384687.996093750
65000: energy: 686065334290119524352.000000000; delta (%): 18423558384687.996093750
66000: energy: 686065334290119524352.000000000; delta (%): 18423558384687.996093750
67000: energy: 686065334290119524352.000000000; delta (%): 18423558384687.996093750
68000: energy: 686065334290119524352.000000000; delta (%): 18423558384687.996093750
69000: energy: 686065334290119524352.000000000; delta (%): 18423558384687.996093750
70000: energy: 686065334290119524352.000000000; delta (%): 18423558384687.996093750
71000: energy: 686065334290119524352.000000000; delta (%): 18423558384687.996093750
72000: energy: 686065334290119524352.000000000; delta (%): 18423558384687.996093750
73000: energy: 686065334290119524352.000000000; delta (%): 18423558384687.996093750
74000: energy: 686065334290119524352.000000000; delta (%): 18423558384687.996093750
75000: energy: 686065334290119524352.000000000; delta (%): 18423558384687.996093750
76000: energy: 686065334290119524352.000000000; delta (%): 18423558384687.996093750
77000: energy: 686065334290119524352.000000000; delta (%): 18423558384687.996093750
78000: energy: 686065334290119524352.000000000; delta (%): 18423558384687.996093750
79000: energy: 686065334290119524352.000000000; delta (%): 18423558384687.996093750
80000: energy: 686065334290119524352.000000000; delta (%): 18423558384687.996093750
81000: energy: 686065334290119524352.000000000; delta (%): 18423558384687.996093750
82000: energy: 686065334290119524352.000000000; delta (%): 18423558384687.996093750
83000: energy: 686065334290119524352.000000000; delta (%): 18423558384687.996093750
84000: energy: 686065334290119524352.000000000; delta (%): 18423558384687.996093750
85000: energy: 686065334290119524352.000000000; delta (%): 18423558384687.996093750
86000: energy: 686065334290119524352.000000000; delta (%): 18423558384687.996093750
87000: energy: 686065334290119524352.000000000; delta (%): 18423558384687.996093750
88000: energy: 686065334290119524352.000000000; delta (%): 18423558384687.996093750
89000: energy: 686065334290119524352.000000000; delta (%): 18423558384687.996093750
90000: energy: 686065334290119524352.000000000; delta (%): 18423558384687.996093750
91000: energy: 686065334290119524352.000000000; delta (%): 18423558384687.996093750
92000: energy: 686065334290119524352.000000000; delta (%): 18423558384687.996093750
93000: energy: 686065334290119524352.000000000; delta (%): 18423558384687.996093750
94000: energy: 686065334290119524352.000000000; delta (%): 18423558384687.996093750
95000: energy: 686065334290119524352.000000000; delta (%): 18423558384687.996093750
96000: energy: 686065334290119524352.000000000; delta (%): 18423558384687.996093750
97000: energy: 686065334290119524352.000000000; delta (%): 18423558384687.996093750
98000: energy: 686065334290119524352.000000000; delta (%): 18423558384687.996093750
99000: energy: 686065334290119524352.000000000; delta (%): 18423558384687.996093750
100000: energy: 686065334290119524352.000000000; delta (%): 18423558384687.996093750

Start simulation with dt: 0.001000000
Start energy: 3723848129.450342655

1000: energy: 1757433878593.120361328; delta (%): 47094.026649323
2000: energy: 1757433878611.351806641; delta (%): 47094.026649813
3000: energy: 1757433878619.867431641; delta (%): 47094.026650042
4000: energy: 1757433878623.311523438; delta (%): 47094.026650134
5000: energy: 1757433878626.608886719; delta (%): 47094.026650223
6000: energy: 1757433878628.054931641; delta (%): 47094.026650261
7000: energy: 1757433878628.561279297; delta (%): 47094.026650275
8000: energy: 1757433878628.740722656; delta (%): 47094.026650280
9000: energy: 1757433878628.810791016; delta (%): 47094.026650282
10000: energy: 1757433878628.841796875; delta (%): 47094.026650283
11000: energy: 1757433878628.857177734; delta (%): 47094.026650283
12000: energy: 1757433878628.865722656; delta (%): 47094.026650283
13000: energy: 1757433878628.871093750; delta (%): 47094.026650283
14000: energy: 1757433878628.874267578; delta (%): 47094.026650283
15000: energy: 1757433878628.876708984; delta (%): 47094.026650283
16000: energy: 1757433878628.878417969; delta (%): 47094.026650284
17000: energy: 1757433878628.879394531; delta (%): 47094.026650284
18000: energy: 1757433878628.880371094; delta (%): 47094.026650284
19000: energy: 1757433878628.881103516; delta (%): 47094.026650284
20000: energy: 1757433878628.881591797; delta (%): 47094.026650284
21000: energy: 1757433878628.881835938; delta (%): 47094.026650284
22000: energy: 1757433878628.882080078; delta (%): 47094.026650284
23000: energy: 1757433878628.882324219; delta (%): 47094.026650284
24000: energy: 1757433878628.882812500; delta (%): 47094.026650284
25000: energy: 1757433878628.882812500; delta (%): 47094.026650284
26000: energy: 1757433878628.883056641; delta (%): 47094.026650284
27000: energy: 1757433878628.883056641; delta (%): 47094.026650284
28000: energy: 1757433878628.883300781; delta (%): 47094.026650284
29000: energy: 1757433878628.883300781; delta (%): 47094.026650284
